loss,epoch,step
82142344.0,0,0
107623408.0,0,1
28431724.0,0,2
261199.640625,0,3
4337704.0,0,4
1.0034139156341553,0,5
3.3964791297912598,0,6
16.904245376586914,0,7
36.18836975097656,0,8
17.660722732543945,0,9
8.613262176513672,0,10
8.927958488464355,0,11
6.208816051483154,0,12
5.860047340393066,0,13
5.393992900848389,0,14
5.547415733337402,0,15
8.838520050048828,0,16
3.742921829223633,0,17
5.437058925628662,0,18
9.306167602539062,0,19
9.657899856567383,0,20
9.859991073608398,0,21
12.127459526062012,0,22
3.5719008445739746,0,23
5.276062965393066,0,24
693715.9375,0,25
536017.4375,0,26
80109.03125,0,27
1805293.5,0,28
2299880.0,0,29
787040.0625,0,30
1.121834635734558,0,31
8.45650577545166,0,32
15.842219352722168,0,33
20.363576889038086,0,34
11.080597877502441,0,35
17.985557556152344,0,36
47.07406997680664,0,37
11.691981315612793,0,38
11.095157623291016,0,39
11.150527954101562,0,40
6.381824493408203,0,41
6.805509567260742,0,42
6.507258415222168,0,43
10.60140609741211,0,44
